PaperTitle,Year,Author,Citation,Publication,URL
Construction and recommendation of a water affair knowledge graph,2018,J Yan,,mdpi.com,https://www.mdpi.com/344312
Application of an Improved Synthetical Semantic Similarity Method in Water Knowledge Graph,2020,K Gao,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1621/1/012013/meta
[HTML][HTML] Symbiosis of evolutionary and combinatorial ontology mapping approaches,2016,R Forsati,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0020025516000360
