PaperTitle,Year,Author,Citation,Publication,URL
Knowledge Graph Augmented Political Perspective Detection in News Media,2021,S Feng,,arxiv.org,https://arxiv.org/abs/2108.03861
The Comparative Effects of Electoral Laws on Voter Rationality: Plurality versus Proportional Election Rules,2840870,D Davison,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2840870
Can voting aid applications mobilize disadvantaged citizens? A field experiment in the 2014 Quebec election,2014,VA Mahéo,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2454232
A TYPOLOGY OF POLITICAL PARTICIPATION IN ROMANIA: EMPIRICAL FINDINGS FROM A LOCAL STUDY,2008,M Comșa,,ceeol.com,https://www.ceeol.com/search/article-detail?id=113840
A desire for active citizens: An exploratory analysis of citizenship education for young migrants in New Zealand,2009,TC Lee,,ir.canterbury.ac.nz,http://ir.canterbury.ac.nz/handle/10092/3012
Decoding chinese user generated categories for fine-grained knowledge harvesting,2018,C Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8438955/
