PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source
Use Cases of the Industrial Knowledge Graph at Siemens.;2018;T Hubauer;;ceur-ws.org;http://ceur-ws.org/Vol-2180/paper-86.pdf;FALSE;FALSE
Construction of an industrial knowledge graph for unstructured chinese text learning;2019;M Zhao;;mdpi.com;https://www.mdpi.com/491796;TRUE;FALSE
[HTML][HTML] Towards Self-X cognitive manufacturing network: An industrial knowledge graph-based multi-agent reinforcement learning approach;2021;P Zheng;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0278612521001643;FALSE;FALSE
[HTML][HTML] Achieving cognitive mass personalization via the self-X cognitive manufacturing network: An industrial-knowledge-graph-and graph-embedding-enabled …;2021;X Li;;Elsevier;https://www.sciencedirect.com/science/article/pii/S2095809921004252;FALSE;FALSE
Open industrial knowledge graph development for intelligent manufacturing service matchmaking;2017;Y Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8328618/;TRUE;FALSE
BA-IKG: BiLSTM Embedded ALBERT for Industrial Knowledge Graph Generation and Reuse;2020;B Zhou;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9442198/;TRUE;FALSE
Visual analysis of industrial knowledge graph research based on Citespace;2021;Y Weihua;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9467534/;FALSE;FALSE
Towards a semantic keyword search over industrial knowledge graphs;2017;G Cheng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8258109/;FALSE;FALSE
[HTML][HTML] An end-to-end tabular information-oriented causality event evolutionary knowledge graph for manufacturing documents;2021;B Zhou;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1474034621001932;FALSE;FALSE
[PDF][PDF] Research on Structure Analysis Framework of Industrial Cooperation Network Based on Knowledge Graph;2021;S Junni;;webofproceedings.org;https://webofproceedings.org/proceedings_series/ESSP/IEESASM%202021/WHCP21D133.pdf;FALSE;FALSE
metaphactory: A platform for knowledge graph management;2019;P Haase;;content.iospress.com;https://content.iospress.com/articles/semantic-web/sw190360;TRUE;FALSE
[CITATION][C] Exploration of the construction and application of knowledge graph in equipment failure;2017;Y LU;;2017;xx;TRUE;FALSE
[PDF][PDF] Towards a Knowledge Graph Lifecycle: A pipeline for the population of a commercial Knowledge Graph;2020;U Simsek;;openreview.net;https://openreview.net/pdf?id=EmYGqLNZqkm;FALSE;FALSE
[HTML][HTML] Integrating and navigating engineering design decision-related knowledge using decision knowledge graph;2021;J Hao;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1474034621001191;FALSE;FALSE
Parasitic Network: Zero-Shot Relation Extraction for Knowledge Graph Populating;2021;S Jia;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-73200-4_38;FALSE;FALSE
[PDF][PDF] A knowledge graph based integration approach for industry 4.0;2019;I Grangel-González;;researchgate.net;https://www.researchgate.net/profile/Irlan-Grangel-Gonzalez/publication/333532727_A_Knowledge_Graph_Based_Integration_Approach_for_Industry_40/links/5eac262492851cb267694bf5/A-Knowledge-Graph-Based-Integration-Approach-for-Industry-40.pdf;FALSE;FALSE
A recommender system for complex real-world applications with nonlinear dependencies and knowledge graph context;2019;M Hildebrandt;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-21348-0_12;FALSE;FALSE
